siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-002,SITE-002-CFO-020,C_STRUCTURE_RISK,51.987,163.322,0.25994,155,352,0.79167,0.02132,0.998,5,0.25103,0.375,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-021,C_STRUCTURE_RISK,59.71,187.586,0.29855,161,368,0.875,0.0228,0.999,5,0.20483,0.472,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-022,C_STRUCTURE_RISK,59.611,187.272,0.29805,136,291,0.875,0.02448,1.0,5,0.16084,0.454,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-023,C_STRUCTURE_RISK,54.495,171.2,0.27247,147,310,0.66667,0.02229,0.988,5,0.17286,0.511,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-024,C_STRUCTURE_RISK,59.482,186.869,0.29741,135,310,0.83333,0.02527,0.98,5,0.22278,0.303,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-025,B_LOW_CONFIDENCE,44.208,138.885,0.22104,107,288,0.70833,0.01628,1.0,5,0.2447,0.507,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-026,C_STRUCTURE_RISK,58.037,182.327,0.29018,118,289,0.875,0.02457,1.0,5,0.16338,0.281,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-002,SITE-002-CFO-027,A_INDICATIVE,35.969,113.0,0.17985,69,240,0.83333,0.0163,0.998,5,0.15688,0.172,
site-002,SITE-002-CFO-028,A_INDICATIVE,43.437,136.462,0.21719,90,322,0.66667,0.01822,1.0,5,0.1269,0.36,
site-002,SITE-002-CFO-029,C_STRUCTURE_RISK,59.504,186.936,0.29752,105,225,0.75,0.02529,0.996,5,0.10145,0.466,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
